Reference DB Relationship: https://moodleschema.zoola.io/,,,,,,
Table Name,Column Name,Value,Connection,Connection 2,Connection 3,
,,,,,,
mdl_user,id,User Id,Connect with mdl_role_assignment userid ,Connect with mdl_grade_grades userid ,Connect with mdl_quiz_grades userid,
,First Name,First name,,,,
,Last Name,Last name,,,,
,Email,Email,,,,
,Country,Country,,,,
,,,,,,
mdl_role_assignment,userid,User ID,,,,
,roleid,Role,Student - 5,User - 7,Teacher - 4,Manager - 1
,contextid,,Connect with mdl_context id,,,
,,,,,,
mdl_context,id,contextid,,,,
,instanceid,,Connect with mdl_course id,,,
,,,,,,
mdl_course,id,,Connect with mdl_grade_items courseid,Connect with mdl_quiz course,,
,fullname,Course name,,,,
,category,,Connect with mdl_course_categories id,,,
,,,,,,
mdl_course_categories,id,,,,,
,name,Course category name,,,,
,,,,,,
mdl_grade_items,id,,Connect with mdl_grade_grades itemid,,,
,courseid,,,,,
,itemname,name ,,,,
,itemtype,"mod(quiz), course(total)",,,,
,itemmodule,"quiz, file(game), h5p",,,,
,,,,,,
mdl_grade_grades,itemid,,,,,
,userid,,,,,
,finalgrade,Marks obtained,,,,
,,,,,,
mdl_quiz_grades,quiz,,Connect with mdl_quiz id,,,
,userid,,,,,
,grade,Marks obtained,,,,
,,,,,,
mdl_quiz,id,,,,,
,course,,,,,
,name,Quiz name,,,,
